#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
AZ Cochise	88200	15988	17.7	117755	1.3	14.7	30999	49.6	79.5	18.8	2271	26.3	76.1	1260021
AZ Coconino	142500	17139	18.2	116320	1.4	7	33425	50.1	83.8	29.9	4003	28.7	76.9	6209424
AZ Gila	100100	16315	17.4	51335	0.2	19.8	12890	50.8	78.2	13.9	1283	25.1	74.6	
AZ Graham	80900	12139	23	33489	-0.3	11.9	10077	47.1	75.6	11.8	905	30.1	75.9	1244760
AZ Greenlee	62700	15814	9.9	8547	-2.9	9.9	2712	47.8	82.5	12.2	365	31.7	75.9	29406
AZ La Paz	86500	14916	19.6	19715	0.2	25.8	4159	48.7	69.3	8.7	554	21.1	77.3	278854
AZ Maricopa	129200	22251	11.7	3072149	4	11.7	828003	50	82.5	25.9	44687	27	76.6	708656
AZ Mohave	95300	16788	13.9	155032	4.4	20.5	35860	50.3	77.5	9.9	2905	23.1	73.5	997171
AZ Navajo	77000	11609	29.5	97470	2.7	10	34527	50.3	71.2	12.3	4211	35.4	73.2	3902552
AZ Pima	114600	19785	14.7	843746	2.3	14.2	207896	51.1	83.4	26.7	12066	24.6	76.1	2913607
AZ Pinal	93900	16025	16.9	179727	5.1	16.2	45081	46.7	72.7	11.9	3324	25.1	74.3	1303431
AZ Santa Cruz	94700	13278	24.5	38381	3.1	10.7	12913	52.2	60.7	15.2	2286	33.6	78.4	265285
AZ Yavapai	138000	19727	11.9	167517	4.8	22	35403	51	84.7	21.1	2293	21.1	76.6	771632
AZ Yuma	85100	14802	19.2	160026	3.1	16.5	46271	49.5	65.8	11.8	19957	28.9	77.3	237742
AR Arkansas	56800	16401	17.8	20749	-0.8	16.2	5150	52.4	72.4	12.2	521	24.8	73.5	426363
AR Ashley	55700	15702	17.5	24209	-1	13.8	6491	51.7	72.5	10.1	871	26.8	73.9	165826
AR Baxter	84500	16859	11.1	38386	0.5	26.8	7281	52	77.5	12.8	543	19	76	105323
AR Benton	94800	19377	10.1	153406	4.2	14.3	40821	50.7	80.4	20.3	1474	26.6	76.9	296543
AR Boone	75300	16175	14.8	33948	1.8	16.7	8123	51.8	76.8	12.7	801	23.9	76.1	257698
AR Bradley	45000	13895	26.3	12600	-0.3	17.5	2968	50.6	66.6	11.9	391	23.6	73.1	28900
AR Calhoun	41700	15555	16.5	5744	-1.3	16	1415	51.9	68.7	7.3	205	24.6	73.1	17622
AR Carroll	83900	16003	15.5	25357	1.6	15.8	6080	50.7	71.8	13.8	515	24	76.1	242482
AR Chicot	47300	12825	28.6	14117	-1.2	15.4	3876	51.5	64.2	11.7	569	27.5	72.4	287962
AR Clark	67900	14533	19.1	23546	-0.1	14.6	5104	51.9	75.3	19.8	338	21.7	75.1	96301
AR Clay	39600	14512	17.5	17609	-1.4	19.4	4068	51.7	60.6	7.4	509	23.1	74.4	323578
AR Cleburne	87400	17250	13.1	24046	0.8	21.1	5122	51.6	74.8	13.9	365	21.3	76.1	117435
AR Cleveland	48900	15362	15.2	8571	0.4	13.6	2242	51.2	73.1	10	208	26.2	73.1	32824
AR Columbia	55700	15322	21.1	25603	-1.4	15.9	6420	52.4	74.1	16.8	685	25.1	73.4	57683
AR Conway	59400	16056	16.1	20336	0.3	16.1	5169	51.5	73.2	11.5	623	25.4	74	162732
AR Craighead	79200	17091	15.4	82148	1	11.8	19809	51.6	77.3	20.9	1371	24.1	75.1	363253
AR Crawford	71600	15015	14.2	53247	1.9	11.3	15032	50.6	71.5	9.7	858	28.2	74.6	138811
AR Crittenden	70500	14424	25.3	50866	0.5	9.9	15834	52.4	69.2	12.8	972	31.1	70.7	319824
AR Cross	61500	15726	19.9	19526	0.4	13.7	5435	51.5	68.3	9.9	520	27.8	72.6	343634
AR Dallas	38700	14610	18.9	9210	-1.6	17	2410	51.5	66.8	9.6	273	26.2	73.6	23228
AR Desha	46700	13446	28.9	15341	-1.9	14.2	4428	53.3	65	11.1	649	28.9	73.4	275954
AR Drew	60100	16264	18.2	18723	0.8	12.8	4832	51.5	73.1	17.3	653	25.8	72.4	122552
AR Faulkner	92900	17988	12.5	86014	2.3	9.5	22006	51.2	83.3	25.2	1301	25.6	76.1	211467
AR Franklin	58500	14616	15.2	17771	0.5	15.8	4591	50.5	71.1	11	259	25.8	74.6	171391
AR Fulton	54500	15712	16.3	11642	0.1	20.2	2650	51	72.2	10.5	160	22.8	75.7	227794
AR Garland	85900	18631	14.6	88068	1.8	21.2	18759	51.4	78.3	18	1585	21.3	74.2	43471
AR Grant	70700	17547	10.2	16464	1.5	12.2	4268	50.4	77.2	11	319	25.9	73.6	32519
AR Greene	66800	16403	13.3	37331	1.2	13.9	9411	51.2	72.1	10.9	878	25.2	74.8	262827
AR Hempstead	51400	14103	20.3	23587	-0.6	14.1	6446	51.6	69.2	11	628	27.3	73.8	189435
AR Hot Spring	63100	15216	14	30353	0.4	15.8	7608	51.2	73.3	11.2	523	25.1	74.5	75305
AR Howard	55600	15586	15.5	14300	-0.4	15.1	3840	51.2	70.7	11.6	358	26.9	74.3	108020
AR Independence	64300	16163	13	34233	0.5	14.5	8396	50.9	75.5	13.7	789	24.5	75.1	283126
AR Izard	57800	14397	17.2	13249	-0.3	21.1	2768	49.3	73.3	11.7	175	20.9	75.7	187863
AR Jackson	45300	14564	17.4	18418	-3.3	16.5	4081	52.3	66	10.3	751	22.2	72.6	335099
AR Jefferson	57600	15417	20.5	84278	-0.8	12.9	22161	51.1	74.8	15.7	2709	26.3	72.9	288655
AR Johnson	59300	15097	16.4	22781	0.1	14.8	5733	50.3	67.6	13.1	380	25.2	75	114579
AR Lafayette	33600	14128	23.2	8559	-2.6	17.7	2174	51.6	65.3	9.5	252	25.4	73.8	97701
AR Lawrence	45300	13785	18.4	17774	-0.5	17.4	4258	51.6	63.3	8.5	472	24	74.5	293576
AR Lee	42800	10983	29.9	12580	-1.7	14	3277	47.3	56.2	7.3	335	26	71.8	279643
AR Lincoln	52200	12479	19.5	14492	-1.2	11.9	3215	41.3	65	7.6	273	22.2	73.4	184232
AR Little River	55300	15899	15.4	13628	-1.1	15.1	3430	51.4	73.4	9.9	301	25.2	74.4	146344
AR Logan	54000	14527	15.4	22486	-0.5	16	5824	50.4	69.8	9.4	492	25.9	74.5	199294
AR Lonoke	85500	17397	10.5	52828	2.9	10.4	15188	50.8	77.6	14.6	635	28.7	74.7	390705
AR Madison	62300	14736	18.6	14243	1.6	14.4	3817	50.1	67.8	10.1	228	26.8	74.6	282114
AR Marion	73200	14588	15.2	16140	0.8	20	3571	50.5	76	10.4	192	22.1	75.3	139553
AR Miller	63700	16444	19.3	40443	0.7	13.1	10734	51.3	74.3	12.5	750	26.5	73.1	154096
AR Mississippi	56200	13978	23	51979	-1.7	12.2	15407	52.1	64.7	11.3	2859	29.6	71.9	489158
AR Monroe	42300	13096	27.5	10254	-2.8	17.3	2862	53.1	63.8	8.4	275	27.9	71.8	235812
AR Montgomery	54000	14668	17	9245	0	18.9	2174	51	69.8	8.8	141	23.5	74.8	74260
AR Nevada	41200	14184	22.8	9955	-0.9	16.1	2509	51.5	69.1	10.7	291	25.2	72.9	72810
AR Newton	50100	13788	20.4	8608	-1	14.8	2142	49.4	70.2	11.8	171	24.9	75	108680
AR Ouachita	50200	15118	19.5	28790	-2.2	16.9	7453	52.7	73.5	12.7	990	25.9	72.9	29449
AR Perry	58700	16216	14	10209	1.7	14.8	2586	50.4	73.8	11.1	216	25.3	74	72711
AR Phillips	46900	12288	32.7	26445	-2.6	13.9	8513	54.1	62.2	12.4	723	32.2	69.4	361185
AR Pike	49600	15385	16.8	11303	-0.7	17	2816	50.7	68.8	10.1	228	24.9	74.3	73211
AR Poinsett	49500	13087	21.2	25614	-0.1	14.3	6684	51.4	62	6.3	627	26.1	71.8	401266
AR Polk	57100	14063	18.2	20229	0	17	5174	50.8	72.6	10.9	349	25.6	74.8	133203
AR Pope	71100	15918	15.2	54469	0.5	12.7	13900	50.9	77.4	19	1160	25.5	76.3	152100
AR Prairie	55600	15907	15.5	9539	-0.1	17.3	2284	50.8	68.2	9	218	23.9	71.8	301851
AR Pulaski	85300	21466	13.3	361474	0.1	11.5	91210	52.1	84.4	28.1	6467	25.2	73.9	110830
AR Randolph	50600	14502	15.3	18195	0.3	17	4479	51	69.2	10.6	525	24.6	74.4	265771
AR St.Francis	56000	12483	27.5	29329	-1.3	11.9	8193	48.6	65.1	9.6	1095	27.9	71	289882
AR Saline	93700	19214	7.2	83529	2.6	12.5	21276	50.5	82.3	16.4	1055	25.5	76.2	50225
AR Scott	48000	13609	18.2	10996	-0.2	14.7	2919	49.5	65.4	8.4	129	26.5	74.8	115733
AR Searcy	45600	12536	23.8	8261	-0.9	19.2	1873	50.5	68	8.4	216	22.7	74.8	188275
AR Sebastian	73300	18424	13.6	115071	0.5	13	29937	51.2	76.6	16.6	1859	26	74.9	114950
AR Sevier	51700	14122	19.2	15757	-1.2	13.2	4446	50.2	64.6	9.2	303	28.2	74.4	133466
AR Sharp	51900	14143	18.2	17119	1.1	23.6	3747	52	72.9	10.3	309	21.9	74.5	173598
AR Stone	64200	14134	18.9	11499	0.8	18.6	2557	50.8	68	9.8	245	22.2	75.3	142453
AR Union	55400	16063	18.7	45629	-1	16.1	11832	52.2	74.5	14.9	1231	25.9	72.6	34150
AR Van Buren	63700	16603	15.4	16192	1	23.3	3487	50.8	71.6	11.5	346	21.5	76.1	132417
AR Washington	90100	17347	14.6	157715	2.7	9.9	39492	49.9	79.5	24.5	1935	25	75.5	334667
AR White	72100	15890	14	67165	2.1	13.8	16376	51.2	72.9	15.5	1465	24.4	75.3	394294
AR Woodruff	35500	13269	27	8741	-0.6	16.7	2274	52.8	60.6	8	395	26	71.8	284731
AR Yell	60600	15383	15.4	21139	-0.3	15	5451	50.1	64.1	10.9	363	25.8	74.8	188480
CA Alameda	303100	26680	11	1443741	1	10.2	354572	50.9	82.4	34.9	24852	24.6	75.3	258070
CA Alpine	184200	24431	19.5	1208	-1.3	9.9	276	47.4	88.3	28.2	45	22.8	75.7	3942
CA Amador	153600	22412	9.2	35100	3.3	18	7223	44.9	84	16.6	628	20.6	77.9	204398
CA Butte	129800	17517	19.8	203171	1.4	15.8	48767	51	82.3	21.8	5830	24	76	404166
CA Calaveras	156900	21420	11.8	40554	3.6	18.2	9248	50.4	85.7	17.1	1012	22.8	75.7	245116
CA Colusa	107500	14730	16.1	18804	2.5	11.4	5937	49.2	64	10.6	1395	31.6	75.2	430958
CA Contra Costa	267800	30615	7.6	948816	2.8	11.3	251794	51.2	86.9	35	14820	26.5	76.8	147859
CA Del Norte	121100	14573	20.2	27507	0.2	12.5	6896	44.8	71.6	11	791	25.1	73.9	13303
CA El Dorado	194400	25560	7.1	156299	4	12.4	40792	50.1	89.1	26.5	3098	26.1	77	102726
CA Fresno	104900	15495	22.9	799407	2	9.9	256425	49.9	67.5	17.5	51091	32.1	75.6	1881418
CA Glenn	94900	14069	18.1	26453	0.4	13	8141	49.4	68.5	10.7	1173	30.8	75.2	482583
CA Humboldt	133500	17203	19.5	126518	0	12.5	29413	50.6	84.9	23	3869	23.2	74	584538
CA Imperial	100000	13239	22.6	142361	2.4	10	44746	47.8	59	10.3	12974	31.4	75.2	489726
CA Inyo	161300	19639	12.6	17945	0	19.1	4376	51.2	82.3	17.1	409	24.4	76.2	198658
CA Kern	93300	15760	20.8	661645	2.2	9.4	211379	48.7	68.5	13.5	31866	31.9	74.4	2851462
CA Kings	97600	15848	19.5	129461	2.1	7.4	37528	42.6	68.8	10.4	5650	29	75.2	656968
CA Lake	122600	16825	17.6	58309	4.3	19.5	14062	50.6	77.3	12.1	1838	24.1	73.3	138482
CA Lassen	106700	14749	14	33828	0	9	7389	37.2	79.6	10.7	783	21.8	75.6	453826
CA Los Angeles	209300	20683	17.9	9519338	1.2	9.7	2667976	50.6	69.9	24.9	272818	28	75.2	130838
CA Madera	118800	14682	21.4	123109	2.7	11	36467	52.1	65.4	12	6136	29.6	75.9	641546
CA Marin	514600	44962	6.6	247289	0.2	13.5	50185	50.4	91.2	51.3	2616	20.3	77.6	149663
CA Mariposa	141900	18190	14.8	17130	0.2	17.2	3703	48.8	85.1	20.2	495	21.6	76.8	198230
CA Mendocino	170200	19443	15.9	86265	0.7	13.6	22039	50.3	80.8	20.2	2823	25.5	74.6	638566
CA Merced	111100	14257	21.7	210554	4.1	9.5	72684	50.2	63.8	11	11238	34.5	75.8	881696
CA Modoc	69100	17285	21.5	9449	-1.2	17.6	2423	49.4	77.1	12.4	343	25.6	75.6	662927
CA Mono	236300	23422	11.5	12853	0.6	7.6	2953	45.1	87.9	28.9	412	23	76.2	68813
CA Monterey	265800	20165	13.5	401762	1.5	10	114050	48.2	68.4	22.5	18137	28.4	77.1	1544064
CA Napa	251300	26395	8.3	124279	3.1	15.4	29998	50.1	80.4	26.4	2055	24.1	77.4	212401
CA Nevada	205700	24007	8.1	92033	2.5	17.4	21277	50.4	90.3	26.1	1778	23.1	78.1	62772
CA Orange	270000	25826	10.3	2846289	1.6	9.9	768419	50.2	79.5	30.8	38932	27	77.5	58113
CA Placer	213900	27963	5.8	248399	8.1	13.1	65758	50.9	90.5	30.3	3883	26.5	77.3	139597
CA Plumas	137900	19391	13.1	20824	0.6	17.9	4727	50	88	17.5	856	22.7	76.2	108896
CA Riverside	146500	18689	14.2	1545387	5.9	12.7	468691	50.2	75	16.6	37724	30.3	76.4	509031
CA Sacramento	144200	21142	14.1	1223499	3.7	11.1	337602	51.1	83.3	24.8	24644	27.6	75.6	308035
CA San Benito	284000	20932	10	53234	3.5	8.1	17143	49.4	74.9	17.1	2123	32.2	77.3	511571
CA San Bernardino	131500	16856	15.8	1709434	3.3	8.6	552047	50.1	74.2	15.9	36240	32.3	75	924015
CA San Diego	227200	22926	12.4	2813833	1.7	11.2	723661	49.7	82.6	29.5	41932	25.7	77.1	474901
CA San Francisco	396400	34556	11.3	776733	-0.8	13.7	112802	49.2	81.2	45	12793	14.5	73	21
CA San Joaquin	142400	17365	17.7	563598	5.6	10.6	174569	50	71.2	14.5	22127	31	75.2	808838
CA San Luis Obispo	230000	21864	12.8	246681	1.6	14.5	53413	48.6	85.6	26.7	3615	21.7	78.1	1301889
CA San Mateo	469200	36045	5.8	707161	-0.7	12.5	162100	50.6	85.3	39	7817	22.9	77.5	44588
CA Santa Barbara	293000	23059	14.3	399347	0	12.7	99502	50	79.2	29.4	7713	24.9	78.3	817068
CA Santa Clara	446400	32795	7.5	1682585	-0.8	9.5	416402	49.3	83.4	40.5	29227	24.7	77.7	318654
CA Santa Cruz	377500	26396	11.9	255602	-0.4	10	60741	50.1	83.2	34.2	8852	23.8	77.1	71115
CA Shasta	120800	17738	15.4	163256	3.2	15.2	42674	51.3	83.3	16.6	5113	26.1	74.8	316743
CA Sierra	128600	18815	11.3	3555	-2	17.7	830	49.5	85.2	17.2	150	23.3	76.2	46359
CA Siskiyou	100300	17570	18.6	44301	0.1	18.1	10620	50.9	83.8	17.7	1829	24	75.3	628745
CA Solano	178300	21731	8.3	394542	2.4	9.5	111852	49.6	83.8	21.4	8720	28.3	75.7	362102
CA Sonoma	273200	25724	8.1	458614	1.2	12.6	112153	50.8	84.9	28.5	6735	24.5	76.6	570804
CA Stanislaus	125300	16913	16	446997	4.8	10.4	139222	50.8	70.4	14.1	21435	31.1	75.6	732736
CA Sutter	120700	17428	15.5	78930	2	12.4	22869	50.5	73	15.3	4663	29	75.2	348349
CA Tehama	103100	15793	17.3	56039	1.9	15.9	15374	50.6	75.7	11.3	1632	27.4	74.8	885426
CA Trinity	112000	16868	18.7	13022	0.7	17.2	2974	49	81	15.5	563	22.8	74.8	118252
CA Tulare	97800	14006	23.9	368021	1.7	9.8	124252	50	61.7	11.5	27308	33.8	75.1	1309525
CA Tuolumne	149800	21015	11.4	54501	1.9	18.5	11300	47.3	84.3	16.1	1304	20.7	76.8	152355
CA Ventura	248700	24600	9.2	753197	2.3	10.2	214244	50.1	80.1	26.9	18930	28.4	77.9	346279
CA Yolo	169800	19365	18.4	168660	3.6	9.4	42479	51.1	79.8	34.1	3969	25.2	76	536595
CA Yuba	89700	14124	20.8	60219	1.1	10.6	18690	49.6	71.8	10.3	2400	31	73.6	208462
CO Adams	149800	19944	8.9	363857	3	7.8	103956	49.3	78.8	17.4	4860	28.6	75.7	673713
CO Alamosa	87900	15037	21.3	14966	-0.5	9.6	4068	50.2	82.6	27	411	27.2	76	189987
CO Arapahoe	171700	28147	5.8	487967	2.6	8.6	130354	50.7	90.7	37	6066	26.7	78	332940
CO Archuleta	167400	21683	11.7	9898	7.7	11.9	2507	49.3	87.3	29	177	25.3	78	112670
CO Baca	47300	15068	16.9	4517	-0.5	22.4	1105	50.3	78.5	14	57	24.5	76.2	1142327
CO Bent	57200	13567	19.5	5998	-1.9	15.9	1425	43.7	77.2	11.5	72	23.8	76.2	784273
CO Boulder	241900	28976	9.5	291288	2.2	7.8	66837	49.4	92.8	52.4	4662	22.9	78.9	128146
CO Chaffee	152800	19430	11.7	16242	1.7	17	3201	46.8	88.5	24.3	243	19.7	78	85608
CO Cheyenne	62400	17850	11.1	2231	-1.2	16.6	642	49.8	84.1	14.2	45	28.8	77.3	795815
